id:ID(Point),lat,lon
"36.106642 -93.604727",36.106642,-93.604727
"36.106642 -93.733109",36.106642,-93.733109
"36.106669 -93.622779",36.106669,-93.622779
"36.10668 -93.72761",36.10668 , -93.72761
"36.10669 -93.513178",36.10669 ,-93.513178
"36.106708 -93.714832",36.106708,-93.714832
"36.106728 -93.60484",36.106728, -93.60484
"36.106728 -93.73313",36.106728, -93.73313
"36.106771 -93.591381",36.106771,-93.591381
"36.106771 -93.763917",36.106771,-93.763917
"36.106778 -93.573729",36.106778,-93.573729
"36.10684 -93.622779",36.10684 ,-93.622779
"36.106851 -93.442507",36.106851,-93.442507
"36.106851 -93.733157",36.106851,-93.733157
"36.106862 -93.476121",36.106862,-93.476121
"36.106889 -93.71392",36.106889, -93.71392
"36.10691 -93.742641",36.10691 ,-93.742641
"36.106921 -93.62228",36.106921, -93.62228
"36.106921 -93.62272",36.106921, -93.62272
"36.106942 -93.442647",36.106942,-93.442647
"36.106942 -93.48259",36.106942, -93.48259
"36.106948 -93.482338",36.106948,-93.482338
"36.106948 -93.622602",36.106948,-93.622602
"36.106958 -93.713598",36.106958,-93.713598
"36.10698 -93.564451",36.10698 ,-93.564451
"36.107001 -93.76029",36.107001, -93.76029
"36.107039 -93.44276",36.107039, -93.44276
"36.10705 -93.481319",36.10705 ,-93.481319
"36.10706 -93.620188",36.10706 ,-93.620188
"36.10706 -93.742899",36.10706 ,-93.742899
"36.107098 -93.713137",36.107098,-93.713137
"36.107098 -93.733189",36.107098,-93.733189
"36.107109 -93.484897",36.107109,-93.484897
"36.107119 -93.481029",36.107119,-93.481029
"36.107119 -93.613268",36.107119,-93.613268
"36.107119 -93.614308",36.107119,-93.614308
"36.107141 -93.591161",36.107141,-93.591161
"36.107141 -93.764067",36.107141,-93.764067
"36.107152 -93.481759",36.107152,-93.481759
"36.107162 -93.484897",36.107162,-93.484897
"36.1072 -93.442867",36.1072 -,-93.442867
"36.107211 -93.48486",36.107211, -93.48486
"36.107211 -93.60565",36.107211, -93.60565
"36.107232 -93.5135",36.107232,2 -93.5135
"36.107237 -93.78811",36.107237, -93.78811
"36.107282 -93.574072",36.107282,-93.574072
"36.107291 -93.575658",36.107291,-93.575658
"36.107318 -93.619807",36.107318,-93.619807
"36.107329 -93.564988",36.107329,-93.564988
"36.107329 -93.575347",36.107329,-93.575347
"36.10735 -93.574118",36.10735 ,-93.574118
"36.107388 -93.565047",36.107388,-93.565047
"36.107388 -93.76397",36.107388, -93.76397
"36.10739 -93.484067",36.10739 ,-93.484067
"36.107409 -93.476191",36.107409,-93.476191
"36.107409 -93.712509",36.107409,-93.712509
"36.10742 -93.484248",36.10742 ,-93.484248
"36.107431 -93.48067",36.107431, -93.48067
"36.107431 -93.606101",36.107431,-93.606101
"36.107452 -93.513666",36.107452,-93.513666
"36.107511 -93.565068",36.107511,-93.565068
"36.107559 -93.77839",36.107559, -93.77839
"36.10757 -93.619571",36.10757 ,-93.619571
"36.107581 -93.469437",36.107581,-93.469437
"36.107591 -93.733157",36.107591,-93.733157
"36.107618 -93.71222",36.107618, -93.71222
"36.107661 -93.763182",36.107661,-93.763182
"36.107672 -93.574499",36.107672,-93.574499
"36.107677 -93.476191",36.107677,-93.476191
"36.107677 -93.574799",36.107677,-93.574799
"36.107677 -93.612678",36.107677,-93.612678
"36.10771 -93.574579",36.10771 ,-93.574579
"36.10771 -93.574671",36.10771 ,-93.574671
"36.107742 -93.564977",36.107742,-93.564977
"36.107752 -93.443189",36.107752,-93.443189
"36.107779 -93.61948",36.107779, -93.61948
"36.107801 -93.71201",36.107801, -93.71201
"36.107811 -93.762307",36.107811,-93.762307
"36.107908 -93.443237",36.107908,-93.443237
"36.107919 -93.711898",36.107919,-93.711898
"36.107929 -93.762522",36.107929,-93.762522
"36.107929 -93.778272",36.107929,-93.778272
"36.107972 -93.612281",36.107972,-93.612281
"36.107978 -93.514938",36.107978,-93.514938
"36.107989 -93.694141",36.107989,-93.694141
"36.107999 -93.778277",36.107999,-93.778277
"36.108021 -93.443232",36.108021,-93.443232
"36.108021 -93.711807",36.108021,-93.711807
"36.108042 -93.607651",36.108042,-93.607651
"36.108042 -93.61213",36.108042, -93.61213
"36.108042 -93.76271",36.108042, -93.76271
"36.10808 -93.549619",36.10808 ,-93.549619
"36.108112 -93.46926",36.108112, -93.46926
"36.108117 -93.443178",36.108117,-93.443178
"36.108117 -93.711957",36.108117,-93.711957
"36.108128 -93.611841",36.108128,-93.611841
"36.108149 -93.762881",36.108149,-93.762881
"36.108149 -93.781748",36.108149,-93.781748
"36.10816 -93.577449",36.10816 ,-93.577449
"36.108182 -93.611218",36.108182,-93.611218
"36.108192 -93.447352",36.108192,-93.447352
"36.108198 -93.515625",36.108198,-93.515625
"36.108208 -93.511907",36.108208,-93.511907
"36.108219 -93.494467",36.108219,-93.494467
"36.108219 -93.614201",36.108219,-93.614201
"36.108241 -93.480101",36.108241,-93.480101
"36.108241 -93.762989",36.108241,-93.762989
"36.108278 -93.549737",36.108278,-93.549737
"36.108278 -93.711619",36.108278,-93.711619
"36.108289 -93.711978",36.108289,-93.711978
"36.108321 -93.446627",36.108321,-93.446627
"36.004927 -93.771078",36.004927,-93.771078
"36.004949 -93.74534",36.004949, -93.74534
"36.004959 -93.683429",36.004959,-93.683429
"36.005002 -93.568459",36.005002,-93.568459
"36.005008 -93.435721",36.005008,-93.435721
"36.005029 -93.68263",36.005029, -93.68263
"36.005061 -93.563561",36.005061,-93.563561
"36.005061 -93.713121",36.005061,-93.713121
"36.005077 -93.559377",36.005077,-93.559377
"36.005077 -93.718577",36.005077,-93.718577
"36.005086 -93.735303",36.005086,-93.735303
"36.005088 -93.706802",36.005088,-93.706802
"36.005099 -93.71281",36.005099, -93.71281
"36.005099 -93.769319",36.005099,-93.769319
"36.005099 -93.771271",36.005099,-93.771271
"36.00511 -93.522067",36.00511 ,-93.522067
"36.00512 -93.479388",36.00512 ,-93.479388
"36.005131 -93.48053",36.005131, -93.48053
"36.005131 -93.718357",36.005131,-93.718357
"36.005142 -93.718491",36.005142,-93.718491
"36.005147 -93.563421",36.005147,-93.563421
"36.005158 -93.481019",36.005158,-93.481019
"36.005158 -93.718839",36.005158,-93.718839
"36.005169 -93.479661",36.005169,-93.479661
"36.005179 -93.768991",36.005179,-93.768991
"36.00519 -93.481201",36.00519 ,-93.481201
"36.00519 -93.565809",36.00519 ,-93.565809
"36.005201 -93.568491",36.005201,-93.568491
"36.005228 -93.599969",36.005228,-93.599969
"36.005249 -93.773068",36.005249,-93.773068
"36.00526 -93.481357",36.00526 ,-93.481357
"36.00526 -93.719027",36.00526 ,-93.719027
"36.00526 -93.770697",36.00526 ,-93.770697
"36.005271 -93.559618",36.005271,-93.559618
"36.005292 -93.58084",36.005292, -93.58084
"36.005297 -93.774098",36.005297,-93.774098
"36.005308 -93.561549",36.005308,-93.561549
"36.005319 -93.770542",36.005319,-93.770542
"36.005351 -93.559779",36.005351,-93.559779
"36.005351 -93.565948",36.005351,-93.565948
"36.005351 -93.7703",36.005351,1 -93.7703
"36.005373 -93.746101",36.005373,-93.746101
"36.005373 -93.771969",36.005373,-93.771969
"36.005378 -93.56141",36.005378, -93.56141
"36.00541 -93.774372",36.00541 ,-93.774372
"36.005411 -93.734851",36.005411,-93.734851
"36.005439 -93.497019",36.005439,-93.497019
"36.005442 -93.43585",36.005442, -93.43585
"36.005458 -93.766312",36.005458,-93.766312
"36.005458 -93.76905",36.005458, -93.76905
"36.005469 -93.5684",36.005469,9 -93.5684
"36.005491 -93.561351",36.005491,-93.561351
"36.005491 -93.712429",36.005491,-93.712429
"36.005501 -93.746252",36.005501,-93.746252
"36.005517 -93.53793",36.005517, -93.53793
"36.005539 -93.484248",36.005539,-93.484248
"36.00554 -93.645955",36.00554 ,-93.645955
"36.00555 -93.566179",36.00555 ,-93.566179
"36.00556 -93.560889",36.00556 ,-93.560889
"36.00556 -93.766202",36.00556 ,-93.766202
"36.005571 -93.565927",36.005571,-93.565927
"36.005574 -93.565927",36.005574,-93.565927
"36.005582 -93.44343",36.005582, -93.44343
"36.005592 -93.59659",36.005592, -93.59659
"36.005619 -93.435689",36.005619,-93.435689
"36.005619 -93.568228",36.005619,-93.568228
"36.005641 -93.681728",36.005641,-93.681728
"36.005651 -93.538069",36.005651,-93.538069
"36.005651 -93.561319",36.005651,-93.561319
"36.005662 -93.746327",36.005662,-93.746327
"36.005668 -93.566409",36.005668,-93.566409
"36.005689 -93.519439",36.005689,-93.519439
"36.005711 -93.572773",36.005711,-93.572773
"36.005721 -93.435539",36.005721,-93.435539
"36.005732 -93.482022",36.005732,-93.482022
"36.005732 -93.499462",36.005732,-93.499462
"36.005737 -93.435561",36.005737,-93.435561
"36.005748 -93.566662",36.005748,-93.566662
"36.005748 -93.746348",36.005748,-93.746348
"36.005759 -93.567911",36.005759,-93.567911
"36.005759 -93.719129",36.005759,-93.719129
"36.00578 -93.600302",36.00578 ,-93.600302
"36.005802 -93.769319",36.005802,-93.769319
"36.005812 -93.565937",36.005812,-93.565937
"36.005818 -93.484189",36.005818,-93.484189
"36.005818 -93.70744",36.005818, -93.70744
"36.005828 -93.499778",36.005828,-93.499778
"36.005828 -93.567118",36.005828,-93.567118
"36.005828 -93.5676",36.005828,8 -93.5676
"36.005828 -93.668757",36.005828,-93.668757
"36.005839 -93.596118",36.005839,-93.596118
"36.005861 -93.496967",36.005861,-93.496967
"36.005861 -93.561598",36.005861,-93.561598
"36.005882 -93.765918",36.005882,-93.765918
"36.005887 -93.52093",36.005887, -93.52093
"36.005898 -93.594557",36.005898,-93.594557
"36.005952 -93.499858",36.005952,-93.499858
"36.005968 -93.538209",36.005968,-93.538209
"36.006 -93.497487",36.006 -9,-93.497487
"36.006 -93.580909",36.006 -9,-93.580909
"36.006038 -93.56598",36.006038, -93.56598
"36.006048 -93.600527",36.006048,-93.600527
"36.00607 -93.572729",36.00607 ,-93.572729
"36.006107 -93.681117",36.006107,-93.681117
"36.00614 -93.443232",36.00614 ,-93.443232
"36.00614 -93.498818",36.00614 ,-93.498818
"36.00615 -93.668891",36.00615 ,-93.668891
"36.006188 -93.775257",36.006188,-93.775257
"36.006209 -93.566109",36.006209,-93.566109
"36.006209 -93.769351",36.006209,-93.769351
"36.006223 -93.765876",36.006223,-93.765876
"36.006242 -93.483631",36.006242,-93.483631
"36.006242 -93.538198",36.006242,-93.538198
"36.006252 -93.707778",36.006252,-93.707778
"36.006279 -93.498018",36.006279,-93.498018
"36.006301 -93.498367",36.006301,-93.498367
"36.006327 -93.769431",36.006327,-93.769431
"36.00636 -93.482698",36.00636 ,-93.482698
"36.006381 -93.443232",36.006381,-93.443232
"36.006381 -93.698197",36.006381,-93.698197
"36.006408 -93.483459",36.006408,-93.483459
"36.006429 -93.436129",36.006429,-93.436129
"36.006429 -93.600929",36.006429,-93.600929
"36.006451 -93.561941",36.006451,-93.561941
"36.006461 -93.436151",36.006461,-93.436151
"36.006531 -93.680709",36.006531,-93.680709
