:START_ID(Point),:END_ID(Point),distance:double
"35.961889 -93.652219","35.962618 -93.653077",0.11189
"35.962302 -93.782837","35.962581 -93.782799",0.03119
"35.962752 -93.77162","35.963509 -93.771969",0.08979
"35.963809 -93.72061","35.964222 -93.721151",0.06689
"35.963841 -93.720508","35.964077 -93.720111",0.0443
"35.964308 -93.792209","35.964608 -93.792187",0.0334
"35.96493 -93.516751","35.965982 -93.51681",0.11702
"35.96522 -93.716109","35.96529 -93.715851",0.02447
"35.96567 -93.71546","35.965772 -93.715519",0.01252
"35.966041 -93.792359","35.966143 -93.792546",0.02028
"35.966641 -93.661129","35.966861 -93.661719",0.05843
"35.967269 -93.71488","35.967398 -93.714838",0.01482
"35.967328 -93.740678","35.967988 -93.740308",0.08054
"35.967741 -93.715991","35.967988 -93.716189",0.03272
"35.968272 -93.663741","35.968358 -93.66342",0.03041
"35.968481 -93.662159","35.969238 -93.661429",0.10671
"35.96913 -93.551668","35.969302 -93.551657",0.01914
"35.969941 -93.774651","35.97052 -93.773959",0.08952
"35.97185 -93.516617","35.972118 -93.516831",0.03546
"35.97302 -93.450887","35.97346 -93.450667",0.05275
"35.973299 -93.518232","35.975101 -93.519809",0.24538
"35.97346 -93.450667","35.974028 -93.450661",0.06312
"35.973819 -93.546819","35.974382 -93.546459",0.07044
"35.973862 -93.701909","35.974302 -93.702038",0.05025
"35.974087 -93.605071","35.974178 -93.605419",0.03289
"35.974318 -93.779962","35.975219 -93.780289",0.10435
"35.97545 -93.545477","35.975739 -93.545311",0.03542
"35.976077 -93.780498","35.976351 -93.780487",0.03046
"35.976169 -93.450677","35.97729 -93.450517",0.1254
"35.976351 -93.796918","35.976517 -93.796918",0.01845
"35.9767 -93.520179","35.977697 -93.520088",0.11109
"35.977408 -93.652347","35.977842 -93.652991",0.07537
"35.977767 -93.733441","35.97877 -93.733527",0.11173
"35.978368 -93.522437","35.978422 -93.523017",0.0525
"35.978829 -93.653919","35.979039 -93.65422",0.03574
"35.978888 -93.478149","35.979478 -93.477752",0.07465
"36.021267 -93.436548","36.021417 -93.43643",0.01976
"36.021519 -93.631078","36.021702 -93.630997",0.0216
"36.02204 -93.756798","36.02219 -93.75661",0.02374
